Model,Accuracy,ROC_AUC,PR_AUC,Egitim_Suresi_sn
XGBoost,0.785320602390933,0.8777375720742195,0.8705385827022626,1.7647693157196045
LightGBM,0.7869119701909641,0.8791409212196557,0.8719394973815604,0.6551949977874756
