Model,Tek_Test_Accuracy,CV_Ortalama_Accuracy,CV_Std,ROC_AUC
Logistic Regression,0.7367657722987673,0.7557570262919311,0.006701620530399384,0.8326559633799498
Random Forest,0.7868020304568528,0.7697189483227562,0.007320627103603382,0.8736946954780297
