feature,importance
size_mb,0.5746696316980053
User Rating Count,0.16637504908039225
iap_count,0.1598940612189444
language_count,0.04105008421578619
age_rating_numeric,0.028008633952046846
primary_genre_enc,0.025306411344594458
Average User Rating,0.004696128490230645
